,To,Ti_sp,Φo,Φi,Qa,Φa,Etot
2000-02-01 12:00:00+01:00,10.0,20,963.9000000000001,48.195,0.0,244.18800000000002,71.4
2000-02-01 13:00:00+01:00,11.0,20,945.0,47.24999999999999,0.0,239.4,70.0
2000-02-01 14:00:00+01:00,13.0,20,4071.5650307816236,203.57825153908115,0.0,1031.4631411313446,301.59740968752766
2000-02-01 15:00:00+01:00,11.0,20,548.1,27.404999999999998,0.0,138.852,40.6
2000-02-01 16:00:00+01:00,11.0,20,453.6,22.68,0.0,114.912,33.6
2000-02-01 17:00:00+01:00,10.0,20,56.7,2.835,0.0,14.364,4.2
2000-02-01 18:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 19:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 20:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 21:00:00+01:00,7.8,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 22:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 23:00:00+01:00,8.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 00:00:00+01:00,7.3,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 01:00:00+01:00,7.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 02:00:00+01:00,7.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 03:00:00+01:00,7.2,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 04:00:00+01:00,7.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 05:00:00+01:00,7.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 06:00:00+01:00,6.7,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 07:00:00+01:00,6.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 08:00:00+01:00,7.0,20,103.95,5.1975,0.0,26.334,7.7
2000-02-02 09:00:00+01:00,7.0,20,614.25,30.7125,0.0,155.60999999999999,45.5
2000-02-02 10:00:00+01:00,11.0,20,1232.5756476885026,61.62878238442513,0.0,312.25249741442065,91.30189982877798
2000-02-02 11:00:00+01:00,12.0,20,1742.2960706219897,87.11480353109947,0.0,441.3816712242373,129.05896819422145
2000-02-02 12:00:00+01:00,11.8,20,2069.035298053141,103.45176490265705,0.0,524.155608840129,153.2618739298623
2000-02-02 13:00:00+01:00,12.0,20,2165.4503318232128,108.27251659116062,0.0,548.5807507285472,160.40372828320093
2000-02-02 14:00:00+01:00,12.0,20,2350.443259836254,117.52216299181269,0.0,595.4456258251844,174.10690813601883
2000-02-02 15:00:00+01:00,12.1,20,1770.7334870019195,88.53667435009596,0.0,448.58581670715296,131.16544348162367
2000-02-02 16:00:00+01:00,12.0,20,820.9079107070776,41.045395535353876,0.0,207.96333737912633,60.80799338570945
2000-02-02 17:00:00+01:00,10.0,20,85.05,4.2524999999999995,0.0,21.546,6.3
2000-02-02 18:00:00+01:00,9.2,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 19:00:00+01:00,9.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 20:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 21:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 22:00:00+01:00,9.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 23:00:00+01:00,9.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-03 00:00:00+01:00,9.0,16,0.0,0.0,0.0,0.0,0.0
